sample_seq_id	lane_number	seq_id	sample_id_corrected	population	data_type
1_merged_merged_pe	merged	merged	1	GA	pe
2_merged_merged_pe	merged	merged	2	GA	pe
3_merged_merged_pe	merged	merged	3	GA	pe
4_merged_merged_pe	merged	merged	4	GA	pe
5_merged_merged_pe	merged	merged	5	GA	pe
6_merged_merged_pe	merged	merged	6	GA	pe
7_merged_merged_pe	merged	merged	7	GA	pe
8_merged_merged_pe	merged	merged	8	GA	pe
9_merged_merged_pe	merged	merged	9	GA	pe
10_merged_merged_pe	merged	merged	10	GA	pe
11_merged_merged_pe	merged	merged	11	GA	pe
12_merged_merged_pe	merged	merged	12	GA	pe
13_merged_merged_pe	merged	merged	13	GA	pe
14_merged_merged_pe	merged	merged	14	GA	pe
15_merged_merged_pe	merged	merged	15	GA	pe
16_merged_merged_pe	merged	merged	16	GA	pe
17_merged_merged_pe	merged	merged	17	GA	pe
18_merged_merged_pe	merged	merged	18	GA	pe
19_merged_merged_pe	merged	merged	19	GA	pe
20_merged_merged_pe	merged	merged	20	GA	pe
21_merged_merged_pe	merged	merged	21	GA	pe
22_merged_merged_pe	merged	merged	22	GA	pe
23_merged_merged_pe	merged	merged	23	GA	pe
24_merged_merged_pe	merged	merged	24	GA	pe
25_merged_merged_pe	merged	merged	25	GA	pe
26_merged_merged_pe	merged	merged	26	GA	pe
27_merged_merged_pe	merged	merged	27	GA	pe
28_merged_merged_pe	merged	merged	28	GA	pe
29_merged_merged_pe	merged	merged	29	GA	pe
30_merged_merged_pe	merged	merged	30	GA	pe
31_merged_merged_pe	merged	merged	31	GA	pe
32_merged_merged_pe	merged	merged	32	GA	pe
33_merged_merged_pe	merged	merged	33	GA	pe
34_merged_merged_pe	merged	merged	34	GA	pe
35_merged_merged_pe	merged	merged	35	GA	pe
36_merged_merged_pe	merged	merged	36	OB	pe
37_merged_merged_pe	merged	merged	37	OB	pe
38_merged_merged_pe	merged	merged	38	OB	pe
39_merged_merged_pe	merged	merged	39	OB	pe
40_merged_merged_pe	merged	merged	40	OB	pe
41_merged_merged_pe	merged	merged	41	OB	pe
42_merged_merged_pe	merged	merged	42	OB	pe
43_merged_merged_pe	merged	merged	43	OB	pe
44_merged_merged_pe	merged	merged	44	OB	pe
45_merged_merged_pe	merged	merged	45	OB	pe
46_merged_merged_pe	merged	merged	46	OB	pe
47_merged_merged_pe	merged	merged	47	OB	pe
48_merged_merged_pe	merged	merged	48	OB	pe
49_merged_merged_pe	merged	merged	49	OB	pe
50_merged_merged_pe	merged	merged	50	OB	pe
51_merged_merged_pe	merged	merged	51	OB	pe
52_merged_merged_pe	merged	merged	52	OB	pe
53_merged_merged_pe	merged	merged	53	OB	pe
54_merged_merged_pe	merged	merged	54	OB	pe
55_merged_merged_pe	merged	merged	55	OB	pe
56_merged_merged_pe	merged	merged	56	OB	pe
57_merged_merged_pe	merged	merged	57	OB	pe
58_merged_merged_pe	merged	merged	58	OB	pe
59_merged_merged_pe	merged	merged	59	OB	pe
60_merged_merged_pe	merged	merged	60	OB	pe
61_merged_merged_pe	merged	merged	61	OB	pe
62_merged_merged_pe	merged	merged	62	OB	pe
63_merged_merged_pe	merged	merged	63	OB	pe
64_merged_merged_pe	merged	merged	64	OB	pe
65_merged_merged_pe	merged	merged	65	OB	pe
66_merged_merged_pe	merged	merged	66	OB	pe
67_merged_merged_pe	merged	merged	67	OB	pe
68_merged_merged_pe	merged	merged	68	OB	pe
69_merged_merged_pe	merged	merged	69	OB	pe
70_merged_merged_pe	merged	merged	70	OB	pe
71_merged_merged_pe	merged	merged	71	LB	pe
72_merged_merged_pe	merged	merged	72	LB	pe
73_merged_merged_pe	merged	merged	73	LB	pe
74_merged_merged_pe	merged	merged	74	LB	pe
75_merged_merged_pe	merged	merged	75	LB	pe
76_merged_merged_pe	merged	merged	76	LB	pe
77_merged_merged_pe	merged	merged	77	LB	pe
78_merged_merged_pe	merged	merged	78	LB	pe
79_merged_merged_pe	merged	merged	79	LB	pe
80_merged_merged_pe	merged	merged	80	LB	pe
81_merged_merged_pe	merged	merged	81	LB	pe
82_merged_merged_pe	merged	merged	82	LB	pe
83_merged_merged_pe	merged	merged	83	LB	pe
84_merged_merged_pe	merged	merged	84	LB	pe
85_merged_merged_pe	merged	merged	85	LB	pe
86_merged_merged_pe	merged	merged	86	LB	pe
87_merged_merged_pe	merged	merged	87	LB	pe
88_merged_merged_pe	merged	merged	88	LB	pe
89_merged_merged_pe	merged	merged	89	LB	pe
90_merged_merged_pe	merged	merged	90	LB	pe
91_merged_merged_pe	merged	merged	91	LB	pe
92_merged_merged_pe	merged	merged	92	LB	pe
93_merged_merged_pe	merged	merged	93	LB	pe
94_merged_merged_pe	merged	merged	94	LB	pe
95_merged_merged_pe	merged	merged	95	LB	pe
96_merged_merged_pe	merged	merged	96	LB	pe
97_merged_merged_pe	merged	merged	97	LB	pe
98_merged_merged_pe	merged	merged	98	LB	pe
99_merged_merged_pe	merged	merged	99	LB	pe
100_merged_merged_pe	merged	merged	100	LB	pe
101_merged_merged_pe	merged	merged	101	LB	pe
102_merged_merged_pe	merged	merged	102	LB	pe
103_merged_merged_pe	merged	merged	103	FL	pe
104_merged_merged_pe	merged	merged	104	FL	pe
105_merged_merged_pe	merged	merged	105	FL	pe
106_merged_merged_pe	merged	merged	106	FL	pe
107_merged_merged_pe	merged	merged	107	FL	pe
108_merged_merged_pe	merged	merged	108	FL	pe
109_merged_merged_pe	merged	merged	109	FL	pe
110_merged_merged_pe	merged	merged	110	FL	pe
111_merged_merged_pe	merged	merged	111	FL	pe
112_merged_merged_pe	merged	merged	112	FL	pe
113_merged_merged_pe	merged	merged	113	FL	pe
114_merged_merged_pe	merged	merged	114	FL	pe
115_merged_merged_pe	merged	merged	115	FL	pe
116_merged_merged_pe	merged	merged	116	FL	pe
117_merged_merged_pe	merged	merged	117	FL	pe
118_merged_merged_pe	merged	merged	118	FL	pe
119_merged_merged_pe	merged	merged	119	FL	pe
120_merged_merged_pe	merged	merged	120	FL	pe
121_merged_merged_pe	merged	merged	121	FL	pe
122_merged_merged_pe	merged	merged	122	FL	pe
123_merged_merged_pe	merged	merged	123	FL	pe
124_merged_merged_pe	merged	merged	124	FL	pe
125_merged_merged_pe	merged	merged	125	FL	pe
126_merged_merged_pe	merged	merged	126	FL	pe
127_merged_merged_pe	merged	merged	127	FL	pe
128_merged_merged_pe	merged	merged	128	FL	pe
129_merged_merged_pe	merged	merged	129	FL	pe
130_merged_merged_pe	merged	merged	130	FL	pe
131_merged_merged_pe	merged	merged	131	FL	pe
132_merged_merged_pe	merged	merged	132	FL	pe
133_merged_merged_pe	merged	merged	133	FL	pe
134_merged_merged_pe	merged	merged	134	FL	pe
135_merged_merged_pe	merged	merged	135	FL	pe
136_merged_merged_pe	merged	merged	136	FL	pe
137_merged_merged_pe	merged	merged	137	FL	pe
138_merged_merged_pe	merged	merged	138	SC	pe
139_merged_merged_pe	merged	merged	139	SC	pe
140_merged_merged_pe	merged	merged	140	SC	pe
141_merged_merged_pe	merged	merged	141	SC	pe
142_merged_merged_pe	merged	merged	142	SC	pe
143_merged_merged_pe	merged	merged	143	SC	pe
144_merged_merged_pe	merged	merged	144	SC	pe
145_merged_merged_pe	merged	merged	145	SC	pe
146_merged_merged_pe	merged	merged	146	SC	pe
147_merged_merged_pe	merged	merged	147	SC	pe
148_merged_merged_pe	merged	merged	148	SC	pe
149_merged_merged_pe	merged	merged	149	SC	pe
150_merged_merged_pe	merged	merged	150	SC	pe
151_merged_merged_pe	merged	merged	151	SC	pe
152_merged_merged_pe	merged	merged	152	SC	pe
153_merged_merged_pe	merged	merged	153	SC	pe
154_merged_merged_pe	merged	merged	154	SC	pe
155_merged_merged_pe	merged	merged	155	SC	pe
156_merged_merged_pe	merged	merged	156	SC	pe
157_merged_merged_pe	merged	merged	157	SC	pe
158_merged_merged_pe	merged	merged	158	SC	pe
159_merged_merged_pe	merged	merged	159	SC	pe
160_merged_merged_pe	merged	merged	160	SC	pe
161_merged_merged_pe	merged	merged	161	SC	pe
162_merged_merged_pe	merged	merged	162	SC	pe
163_merged_merged_pe	merged	merged	163	SC	pe
164_merged_merged_pe	merged	merged	164	SC	pe
165_merged_merged_pe	merged	merged	165	SC	pe
166_merged_merged_pe	merged	merged	166	SC	pe
167_merged_merged_pe	merged	merged	167	SC	pe
168_merged_merged_pe	merged	merged	168	SC	pe
169_merged_merged_pe	merged	merged	169	SC	pe
170_merged_merged_pe	merged	merged	170	SC	pe
171_merged_merged_pe	merged	merged	171	SC	pe
172_merged_merged_pe	merged	merged	172	SC	pe
173_merged_merged_pe	merged	merged	173	NJ	pe
174_merged_merged_pe	merged	merged	174	VA	pe
175_merged_merged_pe	merged	merged	175	VA	pe
176_merged_merged_pe	merged	merged	176	VA	pe
177_merged_merged_pe	merged	merged	177	VA	pe
178_merged_merged_pe	merged	merged	178	VA	pe
179_merged_merged_pe	merged	merged	179	VA	pe
180_merged_merged_pe	merged	merged	180	VA	pe
181_merged_merged_pe	merged	merged	181	VA	pe
182_merged_merged_pe	merged	merged	182	VA	pe
183_merged_merged_pe	merged	merged	183	VA	pe
184_merged_merged_pe	merged	merged	184	VA	pe
185_merged_merged_pe	merged	merged	185	NJ	pe
186_merged_merged_pe	merged	merged	186	NJ	pe
187_merged_merged_pe	merged	merged	187	NJ	pe
188_merged_merged_pe	merged	merged	188	NJ	pe
189_merged_merged_pe	merged	merged	189	MD	pe
190_merged_merged_pe	merged	merged	190	MD	pe
191_merged_merged_pe	merged	merged	191	MD	pe
192_merged_merged_pe	merged	merged	192	MD	pe
193_merged_merged_pe	merged	merged	193	MD	pe
194_merged_merged_pe	merged	merged	194	MD	pe
195_merged_merged_pe	merged	merged	195	MD	pe
196_merged_merged_pe	merged	merged	196	MD	pe
197_merged_merged_pe	merged	merged	197	MD	pe
198_merged_merged_pe	merged	merged	198	MD	pe
199_merged_merged_pe	merged	merged	199	MD	pe
200_merged_merged_pe	merged	merged	200	MD	pe
201_merged_merged_pe	merged	merged	201	MD	pe
202_merged_merged_pe	merged	merged	202	MD	pe
203_merged_merged_pe	merged	merged	203	MD	pe
204_merged_merged_pe	merged	merged	204	MD	pe
205_merged_merged_pe	merged	merged	205	MD	pe
206_merged_merged_pe	merged	merged	206	MD	pe
207_merged_merged_pe	merged	merged	207	MD	pe
208_merged_merged_pe	merged	merged	208	MD	pe
209_merged_merged_pe	merged	merged	209	MD	pe
210_merged_merged_pe	merged	merged	210	MD	pe
211_merged_merged_pe	merged	merged	211	MD	pe
212_merged_merged_pe	merged	merged	212	NC	pe
213_merged_merged_pe	merged	merged	213	NC	pe
214_merged_merged_pe	merged	merged	214	NC	pe
215_merged_merged_pe	merged	merged	215	NC	pe
216_merged_merged_pe	merged	merged	216	NC	pe
217_merged_merged_pe	merged	merged	217	NC	pe
218_merged_merged_pe	merged	merged	218	MD	pe
219_merged_merged_pe	merged	merged	219	DE	pe
220_merged_merged_pe	merged	merged	220	DE	pe
221_merged_merged_pe	merged	merged	221	DE	pe
222_merged_merged_pe	merged	merged	222	DE	pe
223_merged_merged_pe	merged	merged	223	DE	pe
224_merged_merged_pe	merged	merged	224	DE	pe
225_merged_merged_pe	merged	merged	225	DE	pe
226_merged_merged_pe	merged	merged	226	DE	pe
227_merged_merged_pe	merged	merged	227	DE	pe
228_merged_merged_pe	merged	merged	228	DE	pe
229_merged_merged_pe	merged	merged	229	DE	pe
230_merged_merged_pe	merged	merged	230	DE	pe
231_merged_merged_pe	merged	merged	231	DE	pe
232_merged_merged_pe	merged	merged	232	DE	pe
233_merged_merged_pe	merged	merged	233	DE	pe
234_merged_merged_pe	merged	merged	234	DE	pe
235_merged_merged_pe	merged	merged	235	DE	pe
236_merged_merged_pe	merged	merged	236	DE	pe
237_merged_merged_pe	merged	merged	237	DE	pe
238_merged_merged_pe	merged	merged	238	DE	pe
239_merged_merged_pe	merged	merged	239	DE	pe
240_merged_merged_pe	merged	merged	240	DE	pe
241_merged_merged_pe	merged	merged	241	DE	pe
242_merged_merged_pe	merged	merged	242	MD	pe
243_merged_merged_pe	merged	merged	243	MD	pe
244_merged_merged_pe	merged	merged	244	MD	pe
245_merged_merged_pe	merged	merged	245	MD	pe
246_merged_merged_pe	merged	merged	246	MD	pe
247_merged_merged_pe	merged	merged	247	MD	pe
248_merged_merged_pe	merged	merged	248	MD	pe
249_merged_merged_pe	merged	merged	249	MD	pe
250_merged_merged_pe	merged	merged	250	MD	pe
251_merged_merged_pe	merged	merged	251	MD	pe
252_merged_merged_pe	merged	merged	252	MD	pe
253_merged_merged_pe	merged	merged	253	MD	pe
254_merged_merged_pe	merged	merged	254	MD	pe
255_merged_merged_pe	merged	merged	255	MD	pe
256_merged_merged_pe	merged	merged	256	MD	pe
257_merged_merged_pe	merged	merged	257	MD	pe
258_merged_merged_pe	merged	merged	258	MD	pe
259_merged_merged_pe	merged	merged	259	MD	pe
260_merged_merged_pe	merged	merged	260	MD	pe
261_merged_merged_pe	merged	merged	261	MD	pe
262_merged_merged_pe	merged	merged	262	MD	pe
263_merged_merged_pe	merged	merged	263	MD	pe
264_merged_merged_pe	merged	merged	264	MD	pe
265_merged_merged_pe	merged	merged	265	MD	pe
266_merged_merged_pe	merged	merged	266	MD	pe
267_merged_merged_pe	merged	merged	267	MD	pe
268_merged_merged_pe	merged	merged	268	MD	pe
269_merged_merged_pe	merged	merged	269	MD	pe
270_merged_merged_pe	merged	merged	270	MD	pe
271_merged_merged_pe	merged	merged	271	MD	pe
272_merged_merged_pe	merged	merged	272	MD	pe
273_merged_merged_pe	merged	merged	273	MD	pe
274_merged_merged_pe	merged	merged	274	MD	pe
275_merged_merged_pe	merged	merged	275	MD	pe
276_merged_merged_pe	merged	merged	276	MD	pe
277_merged_merged_pe	merged	merged	277	MD	pe
278_merged_merged_pe	merged	merged	278	MD	pe
279_merged_merged_pe	merged	merged	279	MD	pe
280_merged_merged_pe	merged	merged	280	MD	pe
281_merged_merged_pe	merged	merged	281	MD	pe
282_merged_merged_pe	merged	merged	282	MD	pe
283_merged_merged_pe	merged	merged	283	MD	pe
284_merged_merged_pe	merged	merged	284	MD	pe
285_merged_merged_pe	merged	merged	285	VA	pe
286_merged_merged_pe	merged	merged	286	VA	pe
287_merged_merged_pe	merged	merged	287	VA	pe
288_merged_merged_pe	merged	merged	288	VA	pe
289_merged_merged_pe	merged	merged	289	VA	pe
290_merged_merged_pe	merged	merged	290	VA	pe
291_merged_merged_pe	merged	merged	291	VA	pe
292_merged_merged_pe	merged	merged	292	VA	pe
293_merged_merged_pe	merged	merged	293	VA	pe
294_merged_merged_pe	merged	merged	294	VA	pe
295_merged_merged_pe	merged	merged	295	VA	pe
296_merged_merged_pe	merged	merged	296	VA	pe
297_merged_merged_pe	merged	merged	297	VA	pe
298_merged_merged_pe	merged	merged	298	VA	pe
299_merged_merged_pe	merged	merged	299	VA	pe
300_merged_merged_pe	merged	merged	300	VA	pe
301_merged_merged_pe	merged	merged	301	VA	pe
302_merged_merged_pe	merged	merged	302	VA	pe
303_merged_merged_pe	merged	merged	303	VA	pe
304_merged_merged_pe	merged	merged	304	VA	pe
305_merged_merged_pe	merged	merged	305	VA	pe
306_merged_merged_pe	merged	merged	306	VA	pe
307_merged_merged_pe	merged	merged	307	VA	pe
308_merged_merged_pe	merged	merged	308	VA	pe
309_merged_merged_pe	merged	merged	309	VA	pe
310_merged_merged_pe	merged	merged	310	VA	pe
311_merged_merged_pe	merged	merged	311	VA	pe
312_merged_merged_pe	merged	merged	312	VA	pe
313_merged_merged_pe	merged	merged	313	VA	pe
314_merged_merged_pe	merged	merged	314	VA	pe
315_merged_merged_pe	merged	merged	315	VA	pe
316_merged_merged_pe	merged	merged	316	VA	pe
317_merged_merged_pe	merged	merged	317	VA	pe
318_merged_merged_pe	merged	merged	318	VA	pe
319_merged_merged_pe	merged	merged	319	VA	pe
320_merged_merged_pe	merged	merged	320	VA	pe
321_merged_merged_pe	merged	merged	321	VA	pe
322_merged_merged_pe	merged	merged	322	VA	pe
323_merged_merged_pe	merged	merged	323	VA	pe
324_merged_merged_pe	merged	merged	324	VA	pe
325_merged_merged_pe	merged	merged	325	VA	pe
326_merged_merged_pe	merged	merged	326	VA	pe
327_merged_merged_pe	merged	merged	327	VA	pe
328_merged_merged_pe	merged	merged	328	VA	pe
329_merged_merged_pe	merged	merged	329	VA	pe
330_merged_merged_pe	merged	merged	330	VA	pe
331_merged_merged_pe	merged	merged	331	VA	pe
332_merged_merged_pe	merged	merged	332	VA	pe
333_merged_merged_pe	merged	merged	333	VA	pe
334_merged_merged_pe	merged	merged	334	VA	pe
335_merged_merged_pe	merged	merged	335	VA	pe
336_merged_merged_pe	merged	merged	336	VA	pe
337_merged_merged_pe	merged	merged	337	VA	pe
338_merged_merged_pe	merged	merged	338	VA	pe
339_merged_merged_pe	merged	merged	339	VA	pe
340_merged_merged_pe	merged	merged	340	VA	pe
341_merged_merged_pe	merged	merged	341	VA	pe
342_merged_merged_pe	merged	merged	342	VA	pe
343_merged_merged_pe	merged	merged	343	VA	pe
344_merged_merged_pe	merged	merged	344	VA	pe
345_merged_merged_pe	merged	merged	345	VA	pe
346_merged_merged_pe	merged	merged	346	VA	pe
347_merged_merged_pe	merged	merged	347	VA	pe
348_merged_merged_pe	merged	merged	348	VA	pe
349_merged_merged_pe	merged	merged	349	VA	pe
350_merged_merged_pe	merged	merged	350	VA	pe
351_merged_merged_pe	merged	merged	351	VA	pe
352_merged_merged_pe	merged	merged	352	NC	pe
353_merged_merged_pe	merged	merged	353	NC	pe
354_merged_merged_pe	merged	merged	354	NC	pe
355_merged_merged_pe	merged	merged	355	NC	pe
356_merged_merged_pe	merged	merged	356	NC	pe
357_merged_merged_pe	merged	merged	357	NC	pe
358_merged_merged_pe	merged	merged	358	NC	pe
359_merged_merged_pe	merged	merged	359	NC	pe
360_merged_merged_pe	merged	merged	360	NC	pe
361_merged_merged_pe	merged	merged	361	NC	pe
362_merged_merged_pe	merged	merged	362	NC	pe
363_merged_merged_pe	merged	merged	363	NC	pe
364_merged_merged_pe	merged	merged	364	NC	pe
365_merged_merged_pe	merged	merged	365	NC	pe
366_merged_merged_pe	merged	merged	366	NC	pe
367_merged_merged_pe	merged	merged	367	NC	pe
368_merged_merged_pe	merged	merged	368	NC	pe
369_merged_merged_pe	merged	merged	369	NC	pe
370_merged_merged_pe	merged	merged	370	NC	pe
371_merged_merged_pe	merged	merged	371	NC	pe
372_merged_merged_pe	merged	merged	372	NC	pe
373_merged_merged_pe	merged	merged	373	NC	pe
374_merged_merged_pe	merged	merged	374	NC	pe
375_merged_merged_pe	merged	merged	375	NC	pe
376_merged_merged_pe	merged	merged	376	NC	pe
377_merged_merged_pe	merged	merged	377	NC	pe
378_merged_merged_pe	merged	merged	378	NC	pe
379_merged_merged_pe	merged	merged	379	NC	pe
380_merged_merged_pe	merged	merged	380	NC	pe
381_merged_merged_pe	merged	merged	381	NC	pe
382_merged_merged_pe	merged	merged	382	NC	pe
383_merged_merged_pe	merged	merged	383	NC	pe
384_merged_merged_pe	merged	merged	384	NC	pe
385_merged_merged_pe	merged	merged	385	NC	pe
386_merged_merged_pe	merged	merged	386	NC	pe
387_merged_merged_pe	merged	merged	387	NC	pe
388_merged_merged_pe	merged	merged	388	NC	pe
389_merged_merged_pe	merged	merged	389	NC	pe
390_merged_merged_pe	merged	merged	390	NC	pe
391_merged_merged_pe	merged	merged	391	NC	pe
392_merged_merged_pe	merged	merged	392	NC	pe
393_merged_merged_pe	merged	merged	393	NC	pe
394_merged_merged_pe	merged	merged	394	NC	pe
395_merged_merged_pe	merged	merged	395	NC	pe
396_merged_merged_pe	merged	merged	396	NC	pe
397_merged_merged_pe	merged	merged	397	NC	pe
398_merged_merged_pe	merged	merged	398	NC	pe
399_merged_merged_pe	merged	merged	399	NC	pe
400_merged_merged_pe	merged	merged	400	NC	pe
